run_id,repo,commit_sha,author,author_experience_commits,files_changed,lines_added,lines_deleted,test_count,test_failures,coverage,pipeline_duration_s,jobs_total,jobs_failed,trigger,created_at,day_of_week,hour,message_length,had_hotfix_keyword,prev_7d_failure_rate,prev_30d_failure_rate,flaky_tests_count,infra_alerts_count,artifact_size_mb,runner_os,cache_hit_rate,dependency_updates,security_alerts_count,success,failure_reason,churn
RUN-100000,frontend-web,bc98be76ce,dev24,70.0,7,267,107,52,1,82.29527440487327,201,4,0,Push,2025-06-01T00:00:00,Sunday,0,104,0,0.34293340655453963,0.25092303512980435,0,0,134.78072081077204,windows-latest,0.5148636305021954,1,0,1,infra_timeout,374
RUN-100001,ml-pipeline,e2eb4cb18e,dev21,13.0,4,97,19,141,1,98.53742188516377,430,7,0,Push,2025-06-01T01:00:00,Sunday,1,119,0,0.08709312285017516,0.16192732092660225,0,0,103.32159405176236,windows-latest,0.7063495208890658,1,0,1,artifact_upload_error,116
RUN-100002,ml-pipeline,ebca678c20,dev28,2.0,3,71,30,31,0,73.48506744678262,131,6,0,schedule,2025-06-01T02:00:00,Sunday,2,23,0,0.04969635439271844,0.2115377478563759,0,0,94.94258479891819,macos-latest,0.6381307678110465,0,0,1,docker_build_failed,101
RUN-100003,mobile-app,80ee165ed9,dev29,5.0,8,196,32,25,1,74.50443221591324,167,9,0,manual,2025-06-01T03:00:00,Sunday,3,8,0,0.32323126919971434,0.17569555907834886,0,0,121.89464269398118,windows-latest,0.7478337328599411,0,0,1,infra_timeout,228
RUN-100004,mobile-app,8530bffabb,dev22,97.0,4,23,254,28,1,93.32942815175413,202,19,0,push,2025-06-01T04:00:00,Sunday,4,123,0,0.16276138903940124,0.020473222961458048,1,0,142.1150065350238,windows-latest,0.5964130860335428,0,0,1,,277
RUN-100005,infra-terraform,ccc44ea744,dev12,18.0,3,320,144,38,1,68.41000970042286,116,5,1,Push,2025-06-01T05:00:00,Sunday,5,43,0,0.25264431857246966,0.152279966490659,0,1,110.2115758323929,windows-latest,0.8398338101018682,0,0,1,tests_failed,464
RUN-100006,frontend-web,507fd72d3e,dev18,13.0,10,51,215,41,1,59.10776360685383,173,19,0,push,2025-06-01T06:00:00,Sunday,6,124,0,0.19349673715825935,0.38971060341232844,0,0,61.18970125850748,macos-latest,0.5507793387428873,0,0,0,tests_failed,266
RUN-100007,ml-pipeline,d65eb0c484,dev13,118.0,3,223,14,22,0,,373,9,1,push,2025-06-01T07:00:00,Sunday,7,10,0,0.1005152571877971,0.03179358615440258,0,0,90.43958749767543,macos-latest,0.6725673322874004,0,0,0,docker_build_failed,237
RUN-100008,backend-api,7e80112362,dev19,84.0,2,83,21,8,0,87.91410030105499,114,45,1,Push,2025-06-01T08:00:00,Sunday,8,161,0,0.5307426892580991,0.12063345304275071,0,0,120.72100063247547,macos-latest,0.3558193244842405,1,0,0,infra_timeout,104
RUN-100009,frontend-web,1da8c94a0a,dev25,27.0,1,110,228,28,0,79.33256562239623,200,11,0,manual,2025-06-01T09:00:00,Sunday,9,69,0,0.3595795960762609,0.4365579651540048,0,0,149.6113463927774,ubuntu-latest,0.6239598958666528,0,0,1,docker_build_failed,338
