files_changed,lines_added,lines_deleted,churn,test_count,test_failures,coverage,pipeline_duration_s,jobs_total,message_length,prev_7d_failure_rate,prev_30d_failure_rate,flaky_tests_count,infra_alerts_count,artifact_size_mb,cache_hit_rate,security_alerts_count,hour,churn_per_file,test_fail_rate,author_experience_log,had_hotfix_keyword,dependency_updates,is_weekend,repo_backend-api,repo_frontend-web,repo_infra-terraform,repo_ml-pipeline,repo_mobile-app,trigger_manual,trigger_pullrequest,trigger_push,trigger_schedule,runner_os_macos-latest,runner_os_ubuntu-latest,runner_os_windows-latest,day_of_week_Friday,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,author_dev1,author_dev10,author_dev11,author_dev12,author_dev13,author_dev14,author_dev15,author_dev16,author_dev17,author_dev18,author_dev19,author_dev2,author_dev20,author_dev21,author_dev22,author_dev23,author_dev24,author_dev25,author_dev26,author_dev27,author_dev28,author_dev29,author_dev3,author_dev30,author_dev4,author_dev5,author_dev6,author_dev7,author_dev8,author_dev9
7,267.0,107.0,374.0,52,1,82.29527440487327,201.0,4,104,0.34293340655453963,0.25092303512980435,0,0,134.78072081077204,0.5148636305021954,0,0,53.42857142857143,0.019230769230769232,4.2626798770413155,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,97.0,19.0,116.0,141,1,98.53742188516377,430.0,7,119,0.08709312285017516,0.16192732092660225,0,0,103.32159405176236,0.7063495208890658,0,1,29.0,0.0070921985815602835,2.6390573296152584,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,71.0,30.0,101.0,31,0,73.48506744678262,131.0,6,23,0.04969635439271844,0.2115377478563759,0,0,94.94258479891819,0.6381307678110465,0,2,33.666666666666664,0.0,1.0986122886681098,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,196.0,32.0,228.0,25,1,74.50443221591324,167.0,9,8,0.32323126919971434,0.17569555907834886,0,0,121.89464269398118,0.7478337328599411,0,3,28.5,0.04,1.791759469228055,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,23.0,254.0,277.0,28,1,93.32942815175413,202.0,19,123,0.16276138903940124,0.020473222961458048,1,0,142.1150065350238,0.5964130860335428,0,4,69.25,0.03571428571428571,4.584967478670572,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,320.0,144.0,464.0,38,1,68.41000970042286,116.0,5,43,0.25264431857246966,0.152279966490659,0,1,110.2115758323929,0.8398338101018682,0,5,154.66666666666666,0.02631578947368421,2.9444389791664403,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,51.0,215.0,266.0,41,1,59.10776360685383,173.0,19,124,0.19349673715825935,0.38971060341232844,0,0,61.18970125850748,0.5507793387428873,0,6,26.6,0.024390243902439025,2.6390573296152584,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,223.0,14.0,237.0,22,0,74.15899438766813,373.0,9,10,0.1005152571877971,0.03179358615440258,0,0,90.43958749767543,0.6725673322874004,0,7,79.0,0.0,4.77912349311153,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,83.0,21.0,104.0,8,0,87.91410030105499,114.0,45,161,0.5307426892580991,0.12063345304275071,0,0,120.72100063247547,0.3558193244842405,0,8,52.0,0.0,4.442651256490317,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,110.0,228.0,338.0,28,0,79.33256562239623,200.0,11,69,0.3595795960762609,0.4365579651540048,0,0,149.6113463927774,0.6239598958666528,0,9,338.0,0.0,3.332204510175204,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
